ipv4_address_id,device_id,ipv4_address,ipv4_prefixlen,ipv4_type,ipv4_network_id,vrf_id,port_id,ifIndex,ipv4_network
17934,1800,10.10.52.1,24,private,6075,,43272,39,10.10.52.0/24
81681,20,10.10.112.1,30,private,17626,,229804,31,10.10.112.0/30
81687,27,10.10.112.2,30,private,17626,,229857,18,10.10.112.0/30
121520,7563,10.11.104.36,24,private,17655,,258239,13,10.11.104.0/24
79979,6594,10.11.254.11,32,private,17332,,227687,10,10.11.254.11/32
126467,6800,10.11.254.15,32,private,17859,,231573,8,10.11.254.15/32
117212,6900,10.11.254.17,32,private,18123,,293775,12,10.11.254.17/32
86736,6964,10.11.254.20,32,private,18240,,237154,12,10.11.254.20/32
95453,7536,10.11.254.22,32,private,19507,,257631,14,10.11.254.22/32
112477,8466,10.11.254.23,32,private,18604,,285010,8,10.11.254.23/32
98559,7151,10.11.254.27,32,private,18557,,240880,10,10.11.254.27/32
91488,7286,10.11.254.31,32,private,18940,,250629,16,10.11.254.31/32
91496,7288,10.11.254.32,32,private,18942,,250661,9,10.11.254.32/32
94626,7489,10.11.254.34,32,private,19408,,256412,13,10.11.254.34/32
95173,7516,10.11.254.36,32,private,19476,,257216,14,10.11.254.36/32
95709,7556,10.11.254.37,32,private,19575,,258069,15,10.11.254.37/32
96363,7593,10.11.254.38,32,private,19696,,259325,13,10.11.254.38/32
96779,7615,10.11.254.39,32,private,19774,,260005,14,10.11.254.39/32
114135,7802,10.11.254.44,32,private,22631,,263934,9,10.11.254.44/32
114173,7928,10.11.254.45,32,private,22636,,266249,9,10.11.254.45/32
101665,7956,10.11.254.48,32,private,20655,,267007,9,10.11.254.48/32
116681,8618,10.11.254.52,32,private,22989,,292727,9,10.11.254.52/32
117147,8682,10.11.254.53,32,private,23083,,293830,9,10.11.254.53/32
116710,8629,10.11.254.54,32,private,22994,,292821,9,10.11.254.54/32
117163,8686,10.11.254.56,32,private,23088,,293879,9,10.11.254.56/32
103361,8088,10.11.254.59,32,private,20950,,269982,9,10.11.254.59/32
103406,8090,10.11.254.60,32,private,20956,,270100,9,10.11.254.60/32
103417,8092,10.11.254.62,32,private,20957,,270132,9,10.11.254.62/32
103432,8095,10.11.254.63,32,private,20962,,270167,9,10.11.254.63/32
103459,8101,10.11.254.64,32,private,20967,,270207,9,10.11.254.64/32
117144,8681,10.11.254.65,32,private,23082,,293821,8,10.11.254.65/32
117140,8680,10.11.254.66,32,private,23081,,293813,9,10.11.254.66/32
116629,8606,10.11.254.67,32,private,22982,,292615,8,10.11.254.67/32
117137,8679,10.11.254.68,32,private,23080,,293804,9,10.11.254.68/32
116719,8632,10.11.254.69,32,private,22997,,292845,8,10.11.254.69/32
117166,8687,10.11.254.70,32,private,23089,,293888,9,10.11.254.70/32
116716,8631,10.11.254.73,32,private,22996,,292837,8,10.11.254.73/32
117117,8671,10.11.254.74,32,private,23076,,293731,8,10.11.254.74/32
117129,8676,10.11.254.75,32,private,23079,,293774,9,10.11.254.75/32
117126,8675,10.11.254.76,32,private,23078,,293765,9,10.11.254.76/32
116713,8630,10.11.254.77,32,private,22995,,292829,8,10.11.254.77/32
117121,8673,10.11.254.80,32,private,23077,,293747,9,10.11.254.80/32
104240,8143,10.11.254.82,32,private,21104,,271182,8,10.11.254.82/32
116669,8613,10.11.254.86,32,private,22988,,292686,8,10.11.254.86/32
118232,8685,10.11.254.87,32,private,23216,,293853,8,10.11.254.87/32
108804,8312,10.11.254.89,32,private,21731,,277506,14,10.11.254.89/32
116690,8622,10.11.254.91,32,private,22990,,292759,9,10.11.254.91/32
112840,8481,10.11.254.101,32,private,22436,,285686,10,10.11.254.101/32
126068,8488,10.11.254.102,32,private,22465,,285999,9,10.11.254.102/32
117155,8684,10.11.254.105,32,private,23085,,293844,9,10.11.254.105/32
117323,8692,10.11.254.106,32,private,23123,,294076,9,10.11.254.106/32
116693,8623,10.11.254.109,32,private,22991,,292768,9,10.11.254.109/32
117939,8720,10.11.254.118,32,private,23182,,295177,9,10.11.254.118/32
116722,8633,10.11.254.126,32,private,22998,,292856,9,10.11.254.126/32
107464,8268,10.11.254.127,32,private,21578,,275053,14,10.11.254.127/32
118174,8730,10.11.254.128,32,private,23206,,295789,12,10.11.254.128/32
108778,8308,10.11.254.129,32,private,21729,,277385,13,10.11.254.129/32
121623,8861,10.11.254.139,32,private,23723,,301811,8,10.11.254.139/32
132124,8611,10.11.254.146,32,private,25527,,379194,8,10.11.254.146/32
126703,9021,10.11.254.152,32,private,24619,,338709,9,10.11.254.152/32
51292,4907,10.11.254.235,32,private,12549,,138638,8,10.11.254.235/32
44151,4406,10.11.254.239,32,private,11089,,125231,9,10.11.254.239/32
44175,1325,10.11.254.244,32,private,10187,,114553,11,10.11.254.244/32
56258,3913,10.11.254.246,32,private,13726,,111313,8,10.11.254.246/32
55884,3912,10.11.254.247,32,private,10802,,111305,9,10.11.254.247/32
133044,1425,10.12.0.1,16,private,9591,,386967,41,10.12.0.0/16
